,Unnamed: 0.1,Unnamed: 0,Candidate identification,Candidate name,Incumbent challenger status,Party code,Party affiliation,Total receipts,Transfers from authorized committees,Total disbursements,Transfers to authorized committees,Beginning cash,Ending cash,Contributions from candidate,Loans from candidate,Other loans,Candidate loan repayments,Other loan repayments,Debts owed by,Total individual contributions,Candidate state,Candidate district,Special election status,Primary election status,Runoff election status,General election status,General election percentage,Contributions from other political committees,Contributions from party committees,Coverage end date,Refunds to individuals,Refunds to committees,Affiliated Committee Id,Affiliated Committee Type,Affiliated Committee Name,Street one,Street two,City or town,State,ZIP code,lat,lon
671,671,671,H2FL08105,"TERRY, JOANNE R [DEM/Candidate]",C,1,DEM,89920.38,0,89159.95,0,0,760.43,3688.88,12500,0,5500,0,7000,73232.41,FL,8,,,,,,455.09,0,12/31/2022,5,0,C00794263,H,JOANNE TERRY FOR CONGRESS,P.O. BOX 372670,,SATELLITE BEACH,FL,32937,28.14458,-80.588785
672,672,672,H2FL08121,"DODGE, DANELLE [DEM/Candidate]",C,1,DEM,78115.93,0,76854.98,0,0,1260.95,0,40000,0,0,0,40000,38115.93,FL,8,,,,,,0,0,12/31/2022,0,0,C00805564,H,COMMON SENSE VOTERS FOR DANELLE DODGE,395 HARBOR DR,,CAPE CANAVERAL,FL,32920,28.39962737,-80.59538415
673,673,673,H6FL09187,"GRAYSON, DENA MD, PHD MD, PHD [DEM/Candidate]",C,1,DEM,1774.44,0,1774.44,0,751.85,751.85,0,1774.44,0,0,0,272987.68,0,FL,8,,,,,,0,0,12/31/2022,0,0,C00581926,H,FRIENDS OF DENA,870 N MIRAMAR AVENUE,SUITE 227,INDIALANTIC,FL,32903,28.0978543,-80.56889691
674,674,674,H2FL08089,"WELLS, PATRICK LEE [REP/Candidate]",C,2,REP,823.2,0,510.37,0,25,337.83,155,0,0,0,0,0,185,FL,8,,,,,,0,0,09/30/2021,0,0,C00770743,H,PATRICK WELLS FOR CONGRESS,1652 SAXTON RD.,,COCOA,FL,32926,28.38342507,-80.81832282
675,675,675,H8FL15107,"POSEY, BILL [REP/Incumbent]",I,2,REP,1030661.36,0,777602.83,0,169964.32,423022.85,0,0,0,0,0,0,697235.77,FL,8,,,,,,333175,0,12/31/2022,2200,0,C00444968,H,FRIENDS OF BILL POSEY,P. O. BOX 411486,,MELBOURNE,FL,32941,28.209985,-80.67204
676,676,676,H2FL09186,"PARKER, KEVIN COPELAND [DEM/Candidate]",C,1,DEM,8025.71,0,8025.71,0,0,0,1916.91,0,0,0,0,0,6063.68,FL,9,,,,,,0,0,12/31/2022,0,0,C00779561,H,KEVIN PARKER FOR CONGRESS,1903 HARBOR BAY CT,UNIT 1A,KISSIMMEE,FL,34741,28.30855552,-81.42764997
677,677,677,H6FL09179,"SOTO, DARREN [DEM/Incumbent]",I,1,DEM,1337428.16,0,1445548.01,0,172400.65,64280.8,0,0,0,0,0,0,483721.69,FL,9,,,,,,847655.98,0,12/31/2022,4050,4000,C00581074,H,DARREN SOTO FOR CONGRESS,PO BOX 421349,,KISSIMMEE,FL,34742,28.300845,-81.418585
678,678,678,H0FL09073,"ORTIZ, SERGIO E [REP/Candidate]",C,2,REP,12390,0,5677.88,0,312.65,7024.77,969,0,0,0,0,0,11421,FL,9,,,,,,0,0,06/30/2022,0,0,C00757435,V,"FRIENDS OF FREEDOM PAC, INC",3851 GAINES DR.,,WINTER HAVEN,FL,33838,27.97702757,-81.71468447
679,679,679,H0FL09081,"OLSON, WILLIAM [REP/Candidate]",C,2,REP,147767.28,0,151085.47,0,3318.19,0,0,0,0,8300,0,0,141334.01,FL,9,,,,,,5000,0,06/30/2022,9040,0,C00699694,H,WILLIAM OLSON FOR CONGRESS,242 KENDAL WAY,,DAVENPORT,FL,33837,28.22757707,-81.55616474
680,680,680,H0FL09115,"CASTILLO, JOSE [REP/Candidate]",C,2,REP,109331.73,0,107828.37,0,5.18,1508.54,5699.04,15400,0,0,0,64964.49,87565.67,FL,9,,,,,,0,0,12/31/2022,140,0,C00711358,H,JOSE CASTILLO FOR CONGRESS,PO BOX 2651,,DAVENPORT,FL,33836,28.153955,-81.59915
681,681,681,H0FL09131,"WRIGHT, CHRISTOPHER ROBERT [REP/Candidate]",C,2,REP,0,0,590.94,0,590.94,0,0,0,0,0,0,6000,0,FL,9,,,,,,0,0,09/30/2021,0,0,C00736066,H,CHRISTOPHER WRIGHT FOR CONGRESS,13050 MOSS PARK RIDGE DR.,,ORLANDO,FL,32832,28.42276381,-81.20365718
682,682,682,H2FL09178,"HITES, BECKY E [REP/Candidate]",C,2,REP,0,0,0,0,0,0,0,0,0,0,0,0,0,FL,9,,,,,,0,0,11/09/2021,0,0,C00770065,H,BECKY E. HITES FOR CONGRESS 2022,3275 S. JOHN YOUNG PKWY,608,KISSIMMEE,FL,34746,28.26373501,-81.43525797
683,683,683,H2FL09228,"MOORE, SCOTTY [REP/Candidate]",C,2,REP,601171.19,0,599213.36,0,0,1957.83,0,0,0,0,0,0,580132.84,FL,9,,,,,,18500,0,12/31/2022,3300,0,C00788810,H,SCOTTY MOORE FOR CONGRESS,838 RIVER BOAT CIR,,ORLANDO,FL,32828,28.53313227,-81.2022253
684,684,684,H2FL09251,"ANTHONY, MARLIN DANIEL [REP/Candidate]",C,2,REP,32450.23,0,32450.23,0,0,0,1763.23,14000,0,11901.09,0,0,16687,FL,9,,,,,,0,0,06/30/2022,16686,0,C00801886,H,DANIEL ANTHONY FOR CONGRESS,6982 LAKE NONA BLVD,APT. 512,ORLANDO,VA,32827,28.3715024,-81.27794926
685,685,685,H2FL09277,"MORALES, ADIANIS [REP/Candidate]",C,2,REP,25105,0,19269.6,0,0,5835.4,500,0,0,0,0,0,24605,FL,9,,,,,,0,0,12/31/2022,0,0,C00808089,H,MORALESFORCONGRESS,C/Opponent 228 S. WASHINGTON ST.,STE. 115,ALEXANDRIA,VA,22314,38.80299091,-77.0473998
686,686,686,H2FL08063,"DEMINGS, VALDEZ 'VAL' [DEM/Incumbent]",I,1,DEM,81084464.15,1379188.03,81522973.19,0,771421.87,332912.83,0,0,0,0,0,0,78573917.51,FL,10,,,,,,967953.98,0,12/31/2022,1408898.69,9300,,,,,,,,,29.25539,93.63811
687,687,687,H2FL10184,"JACKSON, NATALIE [DEM/Opponent]",O,1,DEM,119230.63,0,110805.47,0,0,8425.16,0,0,0,0,0,0,116230.63,FL,10,,,,,,3000,0,09/01/2022,0,0,C00780726,H,NATALIE JACKSON FOR CONGRESS,125 E. PINE STREET,UNIT 1107,ORLANDO,FL,32801,28.54137177,-81.37632473
688,688,688,H2FL10192,"AYALA, ARAMIS [DEM/Opponent]",O,1,DEM,205978.54,28472.93,205978.54,0,0,0,2900,0,0,0,0,0,171511.41,FL,10,,,,,,3094.2,0,06/30/2022,38400,0,C00780700,H,ARAMIS AYALA FOR CONGRESS,PO BOX 691581,,ORLANDO,FL,32869,28.4155835,-81.4750865
689,689,689,H2FL10200,"BRACY, RANDOLPH [DEM/Opponent]",O,1,DEM,545956.89,0,545956.89,0,0,0,8100,0,0,0,0,0,437306.89,FL,10,,,,,,100550,0,10/13/2022,51065,4600,C00780882,H,BRACY FOR CONGRESS,PO BOX 3096,,WINDERMERE,FL,34786,28.4577647,-81.5760688
690,690,690,H2FL10218,"ACHENBACH, JACK JOSEPH [DEM/Opponent]",O,1,DEM,6569.43,0,5860.99,0,0,507.33,3546.28,0,0,0,0,0,2489.36,FL,10,,,,,,0,0,08/23/2022,0,0,C00781799,H,JACK ACHENBACH FOR CONGRESS,PO BOX 771791,,ORLANDO,FL,32877,28.387871,-81.4005986
691,691,691,H2FL10226,"GRAY, TERENCE R MR. I [DEM/Opponent]",O,1,DEM,334265.25,0,334265.25,0,0,0,12000,10000,0,134.12,0,9865.88,312265.25,FL,10,,,,,,0,0,12/16/2022,18481.54,0,C00783068,H,"TERENCE GRAY FOR CONGRESS, INC.",899 BLOOMINGTON COURT,,OCOEE,FL,34761,28.56662355,-81.52941507
692,692,692,H2FL10234,"TACHON, TERESA DR. [DEM/Opponent]",O,1,DEM,11191,0,10681.84,0,0,509.16,0,0,0,0,0,0,11191,FL,10,,,,,,0,0,09/30/2022,0,0,C00781369,H,TERESA TACHON FOR CONGRESS,5315 CHATSWORTH CT,,ORLANDO,FL,32812,28.50673753,-81.317971
693,693,693,H2FL10259,"FROST, MAXWELL ALEJANDRO [DEM/Opponent]",O,1,DEM,3014746.19,34570.28,2680747.59,0,0,333998.6,0,0,0,0,0,0,2747069.91,FL,10,,,,,,229355.31,0,12/31/2022,70483.98,2500,C00786822,H,MAXWELL ALEJANDRO FROST FOR CONGRESS,PO BOX 772671,,ORLANDO,FL,32877,28.387871,-81.4005986
694,694,694,H2FL10309,"BOONE, JEFFREY MR. [DEM/Opponent]",O,1,DEM,50832.77,0,48817.62,0,0,2015.15,10250.63,22000,0,0,0,22000,18582.14,FL,10,,,,,,0,0,09/30/2022,0,0,C00797555,H,JEFFREY BOONE FOR CONGRESS CAMPAIGN COMMITTEE,3755 HUNTERS ISLE DRIVE,,ORLANDO,FL,32837,28.35104724,-81.43637209
695,695,695,H2FL10358,"BROWN, CORRINE [DEM/Opponent]",O,1,DEM,141247.87,0,139103.23,0,0,2144.64,5665,86200,0,0,0,98700,44382.87,FL,10,,,,,,1000,0,12/31/2022,0,0,C00819730,H,CORRINE BROWN FOR CONGRESS,611 APPIAN WAY,,JACKSONVILLE,FL,32208,30.39561224,-81.66505681
696,696,696,H6FL08213,"GRAYSON, ALAN MARK [DEM/Opponent]",O,1,DEM,895756.98,0,897143.84,0,3966.29,2579.43,0,577133.14,0,46000,0,3409322.96,318616.5,FL,10,,,,,,0,0,12/31/2022,2435,52686.62,C00424713,H,COMMITTEE TO ELECT ALAN GRAYSON,4460 WILLOW COVE CT,,ORLANDO,FL,32835,28.49796143,-81.49832609
697,697,697,H0FL10113,"MONTAGUE, WILLIE [REP/Opponent]",O,2,REP,211890.12,0,211926.85,0,38.74,2.01,500,0,0,0,0,0,211310.12,FL,10,,,,,,0,0,12/31/2022,10,0,C00741900,H,WILLIE MONTAGUE FOR CONGRESS,PO BOX 3682,,ORLANDO,FL,32802,28.544625,-81.37789
698,698,698,H0FL20112,"JONES, LATERESA ANN [REP/Candidate]",C,2,REP,17700.86,0,17683.07,0,0,17.79,0,6406.86,0,1179.4,0,4727.46,11258,FL,10,,,,,,0,0,12/31/2022,0,0,C00777474,H,FRIENDS TO ELECT LATERESA JONES,700  OLD DIXIE HIGHWAY,,LAKE PARK,FL,33403,26.79903247,-80.07416639
699,699,699,H2FL07198,"LE, TUAN A [REP/Opponent]",O,2,REP,38386,0,35598.08,0,0,2787.92,0,3170,0,0,0,3170,33931,FL,10,,,,,,0,0,08/03/2022,0,0,C00793562,H,TUAN LE,236 PINEDO DR,,TITUSVILLE,FL,32780,28.57206546,-80.8013488
700,700,700,H2FL10267,"RAMBARANSINGH, MAHENDRANATH TROY [REP/Opponent]",O,2,REP,11879.28,0,11879.28,0,0,0,0,3229.28,0,0,0,3229.28,8650,FL,10,,,,,,0,0,09/30/2021,0,0,C00790022,H,TROY FOR CONGRESS,1343 BELFIORE WAY,,WINDERMERE,FL,34786,28.52400878,-81.51084061
701,701,701,H2FL10275,"KING, WILLIAM [REP/Opponent]",O,2,REP,1000,0,698.14,0,0,301.86,1000,0,0,0,0,0,0,FL,10,,,,,,0,0,12/31/2021,0,0,C00792747,H,WILLIAM KING CAMPAIGN 4 US CONGRESS D10 FL,8031 GOLDENSANDS DR,,ORLANDO,FL,32819,28.4721924,-81.49305496
702,702,702,H2FL10283,"WIMBISH, CALVIN B MR [REP/Opponent]",O,2,REP,253418.48,0,249144.76,0,0,4273.72,0,55000,0,0,0,55000,193418.48,FL,10,,,,,,5000,0,12/31/2022,5000,0,C00791582,H,WIMBISH FOR CONGRESS 2022,9000 EASTERLING DRIVE,,ORLANDO,FL,32819,28.45138579,-81.51527757
703,703,703,H2FL10317,"WEED, PETER [REP/Opponent]",O,2,REP,19350,0,19350,0,0,0,10,16840,0,2485.59,0,14354.41,2150,FL,10,,,,,,0,0,09/14/2022,0,0,C00801365,H,PETER WEED FOR CONGRESS,11568 VISTA VIEW DR,,ORLANDO,FL,32836,28.39705752,-81.50542439
704,704,704,H2FL10333,"LOWE, THUY [REP/Opponent]",O,2,REP,40800,0,40800,0,0,0,0,28500,0,1384.93,0,27115.07,12300,FL,10,,,,,,0,0,12/31/2022,0,0,C00818450,H,THUY LOWE FOR CONGRESS,6344 ALL AMERICAN BOULEVARD. SUITE,,ORLANDO,FL,32810,28.61617627,-81.41912105
705,705,705,H8FL07088,"FRANCOIS, VENNIA V. [REP/Candidate]",C,2,REP,1010,0,10298.96,0,9288.96,0,0,0,0,0,0,0,1010,FL,10,,,,,,0,0,09/30/2021,0,0,C00665653,H,FRIENDS OF VENNIA FRANCOIS FOR CONGRESS,610 S. BOULEVARD,,TAMPA,FL,33606,27.93785001,-82.46860246
706,706,706,H2FL10291,"HOLIC, JASON KYLE [NNE/Opponent]",O,3,NNE,10795,0,10419.38,0,0,511.62,105,1800,1800,0,0,3600,7090,FL,10,,,,,,0,0,12/31/2022,0,0,C00771337,H,COMMITTEE TO ELECT JASON HOLIC,1747 DEPAUW AVENUE,,ORLANDO,FL,32804,28.56747184,-81.37915831
707,707,707,H2FL10325,"JAIN, USHA DR. [NON/Opponent]",O,3,NON,3805,0,4468.09,0,803,614.97,0,0,0,0,0,0,3805,FL,10,,,,,,0,0,11/28/2022,0,0,C00809038,H,ELECT DR. USHA JAIN,4800 S. APOPKA-VINELAND,,ORLANDO,FL,32819,28.49121794,-81.5086272
708,708,708,H2FL11174,"MUNNS, SHANTE [DEM/Candidate]",C,1,DEM,20763.41,290.09,20677.59,0,0,85.82,0,5000,0,0,0,5000,14183.32,FL,11,,,,,,990,0,12/31/2022,0,0,C00816231,H,SHANTE MUNNS FOR CONGRESS,9907 8TH ST UNIT 352,,GOTHA,FL,34732,28.52996747,-81.52351497
709,709,709,H0FL08208,"WEBSTER, DANIEL [REP/Incumbent]",I,2,REP,783304.69,0,766134.43,0,210701.56,227871.82,0,0,0,0,0,0,501589.8,FL,11,,,,,,281700,0,12/31/2022,6078.33,0,C00481911,H,DANIEL WEBSTER FOR CONGRESS,P. O. BOX 1007,,WEBSTER,FL,33597,28.61324,-82.057565
710,710,710,H0FL11152,"BUNTYN, TONY [REP/Candidate]",C,2,REP,0,0,0,0,0,0,0,0,0,0,0,31735.06,0,FL,11,,,,,,0,0,12/31/2022,0,0,C00468363,H,TONY BUNTYN FOR CONGRESS COMMITTEE,4934 W. SAN RAFAEL STREET,,TAMPA,FL,33629,27.92638487,-82.5294063
711,711,711,H0FL21078,"LOOMER, LAURA [REP/Candidate]",C,2,REP,853108.74,0,872308.62,0,30914.66,11714.78,0,0,0,0,0,16097.13,846164.58,FL,11,,,,,,1000,0,12/31/2022,71549.62,0,C00714543,H,LAURA LOOMER FOR CONGRESS INC,PO BOX 1038,,LADY LAKE,FL,32159,28.913335,-81.92139
712,712,712,H2FL11125,"SORIANO, GAVRIEL ELIYAHU [REP/Candidate]",C,2,REP,26539.36,0,26393.86,0,0,145.5,24265.61,0,0,0,0,16181.34,2273.75,FL,11,,,,,,0,0,12/31/2022,0,0,C00776344,H,SORIANO FOR CONGRESS,8624 CR 635,,BUSHNELL,FL,33513,28.63081899,-82.24078401
713,713,713,H2FL12115,"SKINNER, JEANNETTE RENEE [REP/Candidate]",C,2,REP,30305.09,0,28889.71,0,0,3953.76,0,11300,0,7900,0,5300,19005,FL,11,,,,,,0,0,06/30/2022,5210,0,C00796581,H,SKINNER FOR AMERICA,P.O.BOX 1633,,WILDWOOD,FL,34785,28.863225,-82.03987
714,714,714,H2FL11182,"PORTER, KEVIN DEAN [UN/Candidate]",C,3,UN,14732.39,0,14732.39,0,0,0,1742.39,12980,0,0,0,12980,10,FL,11,,,,,,0,0,12/31/2022,0,0,C00819003,H,KEVIN PORTER FOR CONGRESS,1317 EDGEWATER DR #3146,,ORLANDO,FL,32804,28.56352099,-81.38931248
715,715,715,H6FL13197,"WALKER, KIMBERLY H MS [DEM/Candidate]",C,1,DEM,20401.13,0,23760.7,0,9258.26,5898.69,3242.21,0,0,0,0,0,17158.92,FL,12,,,,,,0,0,12/31/2022,0,0,C00591388,H,KIMBERLY WALKER FOR CONGRESS CAMPAIGN,PO BOX 5806,,HUDSON,FL,34674,28.355335,-82.697245
716,716,716,H2FL12081,"CARNEVALE, MICHAEL [REP/Candidate]",C,2,REP,5529.12,0,5529.12,0,0,0,0,0,0,0,0,0,5529.12,FL,12,,,,,,0,0,06/30/2022,0,0,C00790196,H,CARNEVALE FOR CONGRESS,PO BOX 15531,,CLEARWATER,FL,33766,28.0078218,-82.7299824
717,717,717,H2FL12131,"LEISER, CHRISTOPHER MR. [REP/Candidate]",C,2,REP,155153.68,0,17282.7,0,0,90806.01,0,154000,0,0,0,104000,1153.68,FL,12,,,,,,0,0,09/30/2022,0,0,C00818377,H,LEISER FOR CONGRESS,"5135 US HIGHWAY 19, SUITE 103",,NEW PORT RICHEY,FL,34652,28.23372294,-82.7291727
718,718,718,H6FL09070,"BILIRAKIS, GUS M [REP/Incumbent]",I,2,REP,1985594.58,67094.87,1917608.43,0,75110.47,143096.62,0,0,0,0,0,0,877070.2,FL,12,,,,,,1036545.02,0,12/31/2022,1425,0,C00408534,H,BILIRAKIS FOR CONGRESS,PO BOX 606,,TARPON SPRINGS,FL,34688,28.140805,-82.690695
719,719,719,H6FL11217,"MARTIN, JACK [REP/Candidate]",C,2,REP,13096.75,0,12882.34,0,596.62,-5241.21,0,0,0,0,0,0,13096.75,FL,12,,,,,,0,0,09/30/2022,0,0,C00802645,H,JACK MARTIN 4 CONGRESS,13489 DRYSDALE STREET,,SPRING HILL,FL,34609,28.4767589,-82.49735197
720,720,720,H2FL13220,"DIAMOND, BEN [DEM/Opponent]",O,1,DEM,1251759.61,0,824310.1,0,0,427449.51,4289.55,0,0,0,0,0,1202843.04,FL,13,,,,,,39000,0,12/31/2022,172019.4,0,C00779058,H,BEN DIAMOND FOR CONGRESS,POST OFFICE BOX 76234,,ST. PETERSBURG,FL,33734,27.80298,-82.64752
721,721,721,H2FL13246,"RAYNER, MICHELE K. MS. [DEM/Opponent]",O,1,DEM,566663.51,39932.46,566663.51,0,0,0,0,0,0,0,0,0,448731.05,FL,13,,,,,,78000,0,07/15/2022,47813,32600,C00782136,H,"MICHELE FOR FLORIDA, INC.",1802 N. BELCHER ROAD,SUITE 100,CLEARWATER,FL,33759,27.98631602,-82.74642752
722,722,722,H6FL13189,"LYNN, ERIC [DEM/Opponent]",O,1,DEM,2247469.3,19431.34,2086313.83,0,140371.65,301527.12,4000,0,0,0,0,0,2058379.51,FL,13,,,,,,136556.25,0,12/31/2022,14806,0,C00575233,H,ERIC LYNN FOR CONGRESS,PO BOX 16991,,ST. PETERSBURG,FL,33733,27.77188,-82.67612
723,723,723,H6FL13205,"CRIST, CHARLIE JOSEPH [DEM/Incumbent]",I,1,DEM,443250.06,0,862258.48,0,419008.42,0,0,0,0,0,0,0,319901.6,FL,13,,,,,,94500,0,11/30/2022,17640,15000,C00590067,H,CHARLIE CRIST FOR CONGRESS,PO BOX 1547,,ST. PETERSBURG,FL,33731,27.77184,-82.638485
724,724,724,H0FL13125,"GRIFFIN, SHEILA [REP/Candidate]",C,2,REP,0,0,0,0,1447.9,1447.9,0,0,0,0,0,19613.71,0,FL,13,,,,,,0,0,12/31/2022,-25,0,C00703579,H,SHEILA GRIFFIN FOR CONGRESS,P. O. BOX 18123,,CLEARWATER,FL,33762,27.88373,-82.69624
725,725,725,H0FL13133,"MAKKI, AMANDA [REP/Opponent]",O,2,REP,984856.96,0,835417.88,0,181.45,149620.53,0,0,0,0,0,46043.52,914557.82,FL,13,,,,,,58700,0,12/31/2022,4183,0,C00708263,H,AMANDA MAKKI FOR CONGRESS,PO BOX 47483,,ST PETERSBURG,FL,33743,27.784175,-82.72835
726,726,726,H0FL13158,"PAULINA LUNA, ANNA [REP/Opponent]",O,2,REP,3387013.53,420345.21,3382885.75,30090.23,40708.46,44836.24,0,0,0,0,0,0,2705006.11,FL,13,,,,,,250050,10000,12/31/2022,25495.45,2900,C00718239,H,ANNA PAULINA LUNA FOR CONGRESS,1201 GANDY BLVD N,P.O. BOX 23064,SAINT PETERSBURG,FL,33742,27.86082598,-82.64964118
727,727,727,H2FL13253,"BRADDOCK, WILL [REP/Opponent]",O,2,REP,0,0,0,0,0,0,0,0,0,0,0,0,0,FL,13,,,,,,0,0,06/18/2021,0,0,C00782193,H,WILL BRADDOCK FOR CONGRESS,P. O. BOX 115,,SAINT PETERSBURG,FL,33731,27.77184,-82.638485
728,728,728,H2FL13261,"KHEIREDDINE, MONEER [REP/Opponent]",O,2,REP,15075,0,15075,0,0,0,9350,0,0,0,0,0,5725,FL,13,,,,,,0,0,08/31/2022,0,0,C00807362,H,MONEER KHEIREDDINE FOR CONGRESS,1727 NEWARK STREET S,,ST. PETERSBURG,FL,33711,27.75326827,-82.68809685
729,729,729,H2FL13279,"HENSON, AUDREY [REP/Opponent]",O,2,REP,326198.66,0,317931.35,0,0,8267.31,0,0,0,0,0,27765.99,316876,FL,13,,,,,,9000,0,12/31/2022,41800,0,C00786004,H,"AUDREY HENSON FOR CONGRESS, INC.",360 CENTRAL AVENUE,8TH FLOOR,ST. PETERSBURG,FL,33701,27.77116254,-82.63776603
730,730,730,H2FL13287,"HAYSLETT, KEVIN [REP/Opponent]",O,2,REP,1729686.05,0,1729097.32,0,0,588.73,159115.51,0,0,0,0,9000,1547536.19,FL,13,,,,,,14000,0,12/31/2022,148700,2900,C00801530,H,KEVIN HAYSLETT FOR CONGRESS,C/Opponent 228 S. WASHINGTON ST.,STE. 115,ALEXANDRIA,VA,22314,38.80299091,-77.0473998
731,731,731,H6FL14112,"QUINN, CHRISTINE YVONNE [REP/Candidate]",C,2,REP,45601.98,0,45668.12,0,957.52,891.38,0,9800,0,957.52,0,157780.9,35801.98,FL,13,,,,,,0,0,12/31/2022,25,0,C00744698,H,CHRISTINE QUINN FOR CONGRESS,15301 ROOSEVELT BLVD,STE 303,CLEARWATER,FL,33760,27.91162408,-82.70342869
732,732,732,H8FL13136,"BUCK, GEORGE WILLIAM PHD [REP/Candidate]",C,2,REP,0,0,2447.34,0,2447.34,0,0,0,0,0,0,0,0,FL,13,,,,,,0,0,01/13/2021,0,0,C00667808,H,"COMMITTEE TO ELECT GEORGE BUCK, PHD",P. O. BOX 7081,,ST. PETERSBURG,FL,33734,27.80298,-82.64752
733,733,733,H2FL13212,"CRAFT, FRANK S [LIB/Opponent]",O,3,LIB,13910,0,15585.01,0,931.92,-456.09,0,11000,0,0,0,11000,2910,FL,13,,,,,,0,0,12/31/2022,0,0,C00776039,H,FRANK CRAFT FOR CONGRESS,405 CENTRAL AVE,#31,ST. PETERSBURG,FL,33701,27.77121752,-82.638839
734,734,734,H4FL13077,"OVERBY, LUCAS [LPF/Candidate]",C,3,LPF,0,0,0,0,0,0,0,0,0,0,0,3850,0,FL,13,,,,,,0,0,12/31/2022,0,0,C00542035,H,LUCAS OVERBY FOR CONGRESS,1417 NURSERY ROAD,,CLEARWATER,FL,33756,27.94249799,-82.77828093
735,735,735,H2FL14269,"BRADLEY, CHRISTOPHER [DEM/Candidate]",C,1,DEM,39115,0,32809.86,0,0,6305.14,5,26000,0,0,0,26000,13110,FL,14,,,,,,0,0,12/31/2022,0,0,C00789222,H,BRADLEY FOR CONGRESS,"3690 WEST GANDY BLVD., #149",,TAMPA,FL,33611,27.89361246,-82.50579498
736,736,736,H6FL11126,"CASTOR, KATHY [DEM/Incumbent]",I,1,DEM,1585896.95,0,1658328.98,0,423401.92,350969.89,0,0,0,0,0,0,957694.22,FL,14,,,,,,624615.01,0,12/31/2022,15410,0,C00410761,H,CASTOR FOR CONGRESS,"301 W PLATT STREET, #385",,TAMPA,FL,33606,27.94170753,-82.46296697
737,737,737,H2FL14244,"URBINA, ANGEL SALVADOR [REP/Candidate]",C,2,REP,5200,0,5075,0,0,0,100,0,0,0,0,0,5100,FL,14,,,,,,0,0,02/23/2022,0,0,C00782045,H,URBINA FOR CONGRESS,8615 VILLA LARGO DR,,TAMPA,FL,33614,28.031743,-82.51646338
738,738,738,H2FL14277,"JUDGE, JAMES [REP/Candidate]",C,2,REP,216847.03,0,214963.79,0,0,1883.24,6842.71,25000,0,25000,0,18383.32,183499.32,FL,14,,,,,,1000,500,12/31/2022,5867,1000,C00797597,H,JUDGE FOR CONGRESS,133 SOUTH HARBOR DRIVE,,VENICE,FL,34285,27.099209,-82.44975969
739,739,739,H2FL14301,"NASHAGH, SAM [REP/Candidate]",C,2,REP,23015,0,17530.93,0,0,5484.07,0,15000,0,0,0,15000,8015,FL,14,,,,,,0,0,08/03/2022,0,0,C00818724,H,SAM NASHAGH FOR CONGRESS,8851 PROMISE DR,,TAMPA,FL,33626,28.04955756,-82.58477497
740,740,740,H2FL15209,"CHAMBERS, CHRIS [REP/Candidate]",C,2,REP,10571,0,10571,0,0,0,0,0,0,0,0,0,10571,FL,14,,,,,,0,0,05/02/2022,1739.8,0,C00808485,H,CHRIS CHAMBERS FOR CONGRESS,12203 RAVENS NEST PLACE,,RIVERVIEW,FL,33578,27.81899898,-82.34237754
741,741,741,H2FL15266,"TORRES, JERRY [REP/Candidate]",C,2,REP,654224.67,0,654224.67,0,0,0,442837.69,206400,0,570,0,0,4127,FL,14,,,,,,0,0,09/30/2022,0,0,C00816496,H,JERRY TORRES FOR CONGRESS,PO BOX 7614,,LAKELAND,FL,33807,27.958315,-81.966955
742,742,742,H0FL15070,"PHILIPPE, JESSE [DEM/Candidate]",C,1,DEM,7214.87,0,7214.87,0,0,0,0,2000,0,1130,0,0,5214.87,FL,15,,,,,,0,0,03/04/2022,766.07,0,C00772780,H,JESSE PHILIPPE WORKING HARDER FOR FAMILIES,8217 MIDNIGHT SUN CT,,RIVERVIEW,FL,33578,27.87776652,-82.36303709
743,743,743,H0FL15088,"HATTERSLEY, ADAM ROGER [DEM/Opponent]",O,1,DEM,2371.7,0,2960.29,0,588.59,0,2192,0,0,0,0,0,0,FL,15,,,,,,0,0,05/06/2021,0,0,C00713909,H,HATTERSLEY FOR CONGRESS,P.O. BOX 6998,,BRANDON,FL,33578,27.88857666,-82.3377555
744,744,744,H2FL12073,"VANHORN, WILLIAM [DEM/Candidate]",C,1,DEM,22297.59,0,19232.14,0,0,3065.45,2419.51,19118.42,0,870.31,0,18248.11,745,FL,15,,,,,,0,0,08/03/2022,0,0,C00780973,H,BILL VANHORN FOR CONGRESS,PO BOX 1471,,NEW PORT RICHEY,FL,34656,28.249765,-82.70602
745,745,745,H2FL15092,"RAMCHARRAN, LILAWATIE LILY MRS. [DEM/Candidate]",C,1,DEM,14784.26,0,14784.26,0,0,0,3523.24,0,0,0,0,0,11261.02,FL,15,,,,,,0,0,03/31/2021,300,0,C00768333,H,VOTE LILY RAMCHARRAN,15155 W COLONIAL DRIVE UNIT 784777,,WINTER GARDEN,FL,34787,28.55117746,-81.60944599
746,746,746,H2FL15100,"GELLER, EDDIE [DEM/Candidate]",C,1,DEM,554201.77,0,554194.09,0,0,7.68,0,0,0,0,0,0,547197.65,FL,15,,,,,,7004.12,0,11/28/2022,29366,0,C00786954,H,EDDIE GELLER FOR CONGRESS,PO BOX 1111,,MANGO,FL,33550,27.98095904,-82.30809501
